"Species1","Mass","Wing.Length","Hand-Wing.Index"
"Larus audouinii",535,394.4,60
"Larus belcheri",638.6,365.2,52.2
"Larus brunnicephalus",569.3,333.9,44.9
"Larus bulleri",230.2,287.5,57.5
"Larus cachinnans",1111.9,427.2,56.5
"Larus californicus",683.4,377,58.4
"Larus canus",412.5,351,58.6
"Larus cirrocephalus",374.7,319,55.6
"Larus crassirostris",561,364.2,59.1
"Larus delawarensis",516.3,366,56.2
"Larus dominicanus",952.4,402,55.6
"Larus fuliginosus",380,341,54.3
"Larus fuscus",762.4,412.2,57.4
"Larus genei",281,300.8,56.9
"Larus glaucescens",1056.5,411.8,53
"Larus glaucoides",693.3,395.8,54.9
"Larus hartlaubii",292,269.8,54.1
"Larus heermanni",500,336.2,55.2
"Larus hemprichii",451.7,340.8,58.6
"Larus hyperboreus",1529,463,51.8
"Larus ichthyaetus",1378.8,470.8,54.7
"Larus leucophthalmus",328.9,322.2,58.5
"Larus livens",1322,403.5,45.7
"Larus maculipennis",339,291.2,55.1
"Larus marinus",1649.7,478.2,52.3
"Larus melanocephalus",256,302.4,57.1
"Larus michahellis",1111.9,422.8,54.6
"Larus modestus",344,318,55.5
"Larus novaehollandiae",269,277.3,53
"Larus occidentalis",922.8,397.5,51
"Larus pacificus",1292,444.2,54.4
"Larus philadelphia",210.7,259.4,59
"Larus pipixcan",280,279.4,55.6
"Larus relictus",490.2,335.2,48.9
"Larus ridibundus",284,291.2,58.6
"Larus schistisagus",1323,435,53.1
"Larus scoresbii",523.5,323,52.5
"Larus serranus",478,352.8,53
"Larus smithsonianus",1091,429.5,56.1
"Onychoprion aleuticus",120,262.2,69.3
"Onychoprion anaethetus",119.4,273.6,67.2
"Onychoprion fuscatus",185.7,280.7,67.5
"Onychoprion lunatus",120,261.2,68.6
"Pagophila eburnea",550,333.4,61
"Phaetusa simplex",235,291.6,56.6
"Rhodostethia rosea",187,251.2,60.1
"Rissa brevirostris",377,299.8,62.2
"Rissa tridactyla",416,301,59.4
"Rynchops albicollis",164,371.8,69.3
"Rynchops flavirostris",164,332,65.2
"Rynchops niger",297.7,365.7,67.4
"Saundersilarus saundersi",198,274.2,60.9
"Sterna acuticauda",153,223.8,67.4
"Sterna aurantia",209,262.2,63
"Sterna dougallii",112,223.8,69.1
"Sterna forsteri",149,252.6,68.7
"Sterna hirundinacea",188,296.6,68.4
"Sterna hirundo",129.2,253.3,67.3
"Sterna paradisaea",110,262.7,69.1
"Sterna repressa",90,241.4,69
"Sterna striata",129,273.8,69
"Sterna sumatrana",106,215.5,65.9
"Sterna trudeaui",153,256.2,70.1
"Sterna virgata",126,249.8,68.8
"Sterna vittata",139,260,68
"Sternula albifrons",57,169.6,69.8
"Sternula antillarum",45.9,165.1,69.1
"Sternula balaenarum",60,169.4,69.6
"Sternula lorata",53.8,173.5,68.4
"Sternula nereis",72.3,178.2,70
"Sternula saundersi",42.5,168,71.7
"Sternula superciliaris",46.4,169,64.7
"Thalasseus bengalensis",209,293.2,69.4
"Thalasseus bergii",328,357.8,69.9
"Thalasseus bernsteini",284,319.1,67
"Thalasseus elegans",260,296.6,66.6
"Thalasseus maximus",415.3,363.7,61.4
"Thalasseus sandvicensis",199.8,288.5,69.3
"Xema sabini",198,265,59.4
"Pedionomus torquatus",62.5,89,30.6
"Pluvianellus socialis",84.1,135.7,51.9
"Pluvianus aegyptius",82,129.9,39.2
"Cladorhynchus leucocephalus",216,196.4,52
"Himantopus himantopus",176.8,223.8,52.2
"Himantopus novaezelandiae",195,241.8,51.6
"Recurvirostra americana",304.5,218.2,47.8
"Recurvirostra andina",361,238.8,38.1
"Recurvirostra avosetta",304,217.9,49.7
"Recurvirostra novaehollandiae",325,225,50.8
"Nycticryphes semicollaris",76.6,102.9,31.4
"Rostratula australis",121,139,31.6
"Rostratula benghalensis",121,127.6,31.6
"Actitis hypoleucos",48,109.9,48
"Actitis macularius",40.4,100.4,47.5
"Arenaria interpres",136,148.8,55.6
"Arenaria melanocephala",126.2,142,51.1
"Bartramia longicauda",158.9,159,52.9
"Calidris acuminata",66.1,128.8,54.5
"Calidris alba",51.7,119.6,52.3
"Calidris alpina",51.9,115.1,53.4
"Calidris bairdii",41,121.8,55.2
"Calidris canutus",141.9,164.4,57.9
"Calidris falcinellus",37.1,99.2,53.9
"Calidris ferruginea",58.1,129,54.9
"Calidris fuscicollis",43,118.4,54
"Calidris himantopus",57.2,126.8,52.2
"Calidris maritima",65.1,121,50.5
"Calidris mauri",27.8,92.2,49
"Calidris melanotos",79.7,125.2,53.4
"Calidris minuta",21.1,93.2,50.6
"Calidris minutilla",22.9,86.4,37.7
"Calidris ptilocnemis",81.3,130.5,49.8
"Calidris pugnax",131.7,163.7,51
"Calidris pusilla",27.5,92.7,54.2
"Calidris pygmaea",31.7,99.4,54.4
"Calidris ruficollis",26.8,99.5,54.5
"Calidris subminuta",30.2,88.2,49.4
"Calidris subruficollis",62.1,128.4,54.7
"Calidris temminckii",23,96.7,50
"Calidris tenuirostris",192,175.6,57.3
"Calidris virgata",201,173,54.5
"Coenocorypha aucklandica",108.2,99.8,33.1
"Coenocorypha huegeli",104,101.8,30.4
"Coenocorypha pusilla",80.5,98.4,31
"Gallinago andina",109.4,113,39.9
"Gallinago delicata",112.9,128.4,46.5
"Gallinago gallinago",112.9,127.9,44.3
"Gallinago hardwickii",151.3,151,48.4
"Gallinago imperialis",252,153,16.1
"Gallinago jamesoni",166,148,33.5
"Gallinago macrodactyla",216,133.6,37.1
"Gallinago media",170,141,45
"Gallinago megala",121,134.6,45
"Gallinago nemoricola",167.7,135,31.1
"Gallinago nigripennis",112,125.6,34.9
"Gallinago nobilis",192.4,138.4,34.2
"Gallinago paraguaiae",109.4,115.8,38
"Gallinago solitaria",140.1,160.2,44.3
"Gallinago stenura",113,126.8,46.5
"Gallinago stricklandii",252,147.6,34.1
"Gallinago undulata",312.4,154.8,27.1
"Limnodromus griseus",110.5,143,50.3
"Limnodromus scolopaceus",104.4,145.5,51
"Limnodromus semipalmatus",212,174.2,52.4
"Limosa fedoa",357,224.8,52.5
"Limosa haemastica",253.3,210.2,57.5
"Limosa lapponica",291.7,210.1,56.6
"Limosa limosa",288.4,215.6,51.5
"Lymnocryptes minimus",50.1,105.6,43.8
"Numenius americanus",583.9,266.8,49.7
"Numenius arquata",803,292.2,53.2
"Numenius borealis",350.1,214,59
"Numenius madagascariensis",792,305.2,54.7
"Numenius minutus",173,175,56.1
"Numenius phaeopus",364.6,233,53.5
"Numenius tahitiensis",400.1,244.5,53.6
"Numenius tenuirostris",308,252.8,53.5
"Phalaropus fulicarius",55.6,126.3,52.8
"Phalaropus lobatus",36.7,109,49.6
"Prosobonia parvirostris",36,104.6,33
"Scolopax bukidnonensis",238,161,19.6
"Scolopax celebensis",205,192.9,27.7
"Scolopax minor",196.3,129.8,30.6
"Scolopax mira",447,189.7,30.2
"Scolopax rochussenii",308.3,191,27.7
"Scolopax rosenbergii",205,148,29.5
"Scolopax rusticola",308.3,192.4,39.4
"Scolopax saturata",205,145.8,24.3
"Steganopus tricolor",59.4,127.8,56.2
"Tringa brevipes",127,157.8,54.8
"Tringa erythropus",158,163.4,50.8
"Tringa flavipes",77.5,152.6,52.8
"Tringa glareola",62.1,124,48.4
"Tringa guttifer",158,171.2,53.9
"Tringa incana",108.2,164.6,55.3
"Tringa melanoleuca",161.7,194.5,50.2
"Tringa nebularia",187,185.4,52.1
"Tringa ochropus",71.4,137.8,45.8
"Tringa semipalmata",245.7,203.5,47.6
"Tringa solitaria",48.4,126.6,49.7
"Tringa stagnatilis",77.5,133.4,51.7
"Tringa totanus",129,156.9,47.2
"Xenus cinereus",78.8,127.4,54.6
"Catharacta antarctica",1650,401.4,49
"Catharacta chilensis",1367.8,379.6,49.9
"Catharacta maccormicki",1347.1,386.8,50
"Catharacta skua",1338.2,394.6,53.3
"Stercorarius longicaudus",287.9,301.7,60.2
"Stercorarius parasiticus",444.3,310.5,60.2
"Stercorarius pomarinus",692.5,350.8,55.8
"Attagis gayi",311,190,45.5
"Attagis malouinus",340,166.8,49.5
"Thinocorus orbignyianus",115,138.8,48.2
"Thinocorus rumicivorus",53.1,110.6,47.6
"Ortyxelos meiffrenii",17.6,76,25.4
"Turnix castanotus",82.7,83.8,38
"Turnix everetti",28,66,31.5
"Turnix hottentottus",50.6,74.8,27.4
"Turnix maculosus",39.1,73.8,27.2
"Turnix melanogaster",87.1,103.8,38.8
"Turnix nanus",50.6,74.5,23.4
"Turnix nigricollis",61.3,77.4,26.3
"Turnix novaecaledoniae",90.2,99.4,36.8
"Turnix ocellatus",110,93.5,27.4
"Turnix olivii",56.4,97.5,38.5
"Turnix pyrrhothorax",45.7,72.6,36.7
"Turnix suscitator",49.1,82.8,20.8
"Turnix sylvaticus",52.7,83.8,27.2
"Turnix tanki",52.8,77.6,27
"Turnix varius",90.2,99.4,36.8
"Turnix velox",44.3,74.8,35.1
"Turnix worcesteri",67,66.8,31.5
"Anastomus lamelligerus",1081,393.8,38.3
"Anastomus oscitans",1590,397,40.2
"Ciconia abdimii",1398,416.5,44.6
"Ciconia boyciana",4847.7,602.4,44.6
"Ciconia ciconia",3445.8,565.6,45.9
"Ciconia episcopus",2061,456.2,38
"Ciconia maguari",3995,576.5,43.1
"Ciconia microscelis",2061,480.5,38
"Ciconia nigra",2926,529.5,43.1
"Ciconia stormi",2061,387.5,28.8
"Ephippiorhynchus asiaticus",4100,575,40.2
"Ephippiorhynchus senegalensis",6158.7,617.2,40.2
"Jabiru mycteria",5996.3,640.8,40.7
"Leptoptilos crumenifer",6067.9,708.5,42
"Leptoptilos dubius",9050,761.4,43.5
"Leptoptilos javanicus",4651,624.6,35.2
"Mycteria americana",2554.5,455.9,37
"Mycteria cinerea",2393,476.6,45.5
"Mycteria ibis",2155.6,462.5,40.9
"Mycteria leucocephala",3180,474.2,41.1
"Colius castanotus",56.6,95.6,27
"Colius colius",41.4,86.9,29.4
"Colius leucocephalus",35.8,88,27.6
"Colius striatus",51.1,94.8,24.4
"Urocolius indicus",52.7,94.6,32
"Urocolius macrourus",45.5,89.5,29
"Alectroenas madagascariensis",173,171,33.6
"Alectroenas pulcherrimus",165,160.4,25.2
"Alectroenas sganzini",158,164.2,30.7
"Alopecoenas beccarii",78.7,103,29.6
"Alopecoenas canifrons",135,113,26.5
"Alopecoenas erythropterus",113.2,140.5,30.8
"Alopecoenas hoedtii",135,148.7,28.7
"Alopecoenas jobiensis",135,144.2,34.5
"Alopecoenas johannae",78.7,105.4,28.9
"Alopecoenas kubaryi",162,146,27.8
"Alopecoenas rubescens",60,120.6,26.7
"Alopecoenas sanctaecrucis",171,126,27.8
"Alopecoenas stairi",171,147.5,31.2
"Alopecoenas xanthonurus",110.6,139.2,28.4
"Aplopelia larvata",155,143.1,29.3
"Caloenas nicobarica",537.9,259,32.8
"Chalcophaps indica",136.5,143.9,28.7
"Chalcophaps longirostris",136.5,152,32
"Chalcophaps stephani",129,136,32.4
"Chrysoena luteovirens",46.6,117,22.4
"Chrysoena victor",46.6,116.8,25.5
"Chrysoena viridis",46.6,114.8,19.9
"Claravis pretiosa",68.2,110.8,26.7
"Columba albinucha",325,183,42
"Columba albitorques",277,220.6,43.7
"Columba argentina",330,234.6,37.8
"Columba arquatrix",400,225.4,37.1
"Columba bollii",308.5,214,36.4
"Columba delegorguei",133,173.3,35.9
"Columba elphinstonii",379,207.6,33.8
"Columba eversmanni",202,203.6,47.2
"Columba guinea",352,228.3,41
"Columba hodgsonii",308.5,226,40.3
"Columba iriditorques",125.9,155.6,35.6
"Columba janthina",397,237.8,34.2
"Columba junoniae",440,219,30.1
"Columba leucomela",420,229.6,32.2
"Columba leuconota",284,231.6,44.5
"Columba livia",354.2,219.6,45.1
"Columba malherbii",308.5,173,37.3
"Columba oenas",290.8,214.8,42.5
"Columba oliviae",308.5,201,43.4
"Columba pallidiceps",459,232,39.7
"Columba palumboides",520,241.6,34.7
"Columba palumbus",490,246.4,41.2
"Columba pollenii",308.5,224.6,35.9
"Columba pulchricollis",330,204.2,38
"Columba punicea",434.4,220,35
"Columba rupestris",245.4,222.8,48.6
"Columba sjostedti",308.5,216.8,37.7
"Columba thomensis",428.7,233.3,35.6
"Columba torringtoniae",308.5,192.2,34.6
"Columba trocaz",440,235.2,35.6
"Columba unicincta",389.1,211.2,38.4
"Columba vitiensis",353,216.4,32.3
"Columbina buckleyi",57.5,84.8,22.2
"Columbina cruziana",50.1,86.6,24
"Columbina cyanopis",45.6,67.5,19.7
"Columbina inca",47.5,92.5,26
"Columbina minuta",32.6,76,18.7
"Columbina passerina",35.4,81.6,25.4
"Columbina picui",47,87.9,20.1
"Columbina squammata",52.9,95,20.9
"Columbina talpacoti",46,86.8,19.9
"Cryptophaps poecilorrhoa",467,231.3,28.4
"Didunculus strigirostris",400,188,30.1
"Drepanoptila holosericea",215,148,20.5
"Ducula aenea",545,240,31.1
"Ducula aurorae",507.2,234,31.3
"Ducula badia",486,232.2,28.9
"Ducula bakeri",394,205.7,26.4
"Ducula basilica",507.2,204.2,28.8
"Ducula bicolor",440,226.2,36.7
"Ducula brenchleyi",380,216.2,37.2
"Ducula carola",289,209.2,36.5
"Ducula chalconota",502,211.8,26
"Ducula cineracea",507.2,214.8,27.8
"Ducula concinna",804.7,276.4,32
"Ducula cuprea",486,227.9,26.7
"Ducula finschii",343.9,201.1,29.6
"Ducula forsteni",510,240.4,28.8
"Ducula galeata",605,294.2,32.8
"Ducula geelvinkiana",535,241.5,32.8
"Ducula goliath",600,293.2,28.5
"Ducula lacernulata",150,208,25.8
"Ducula latrans",365.1,230.8,29
"Ducula luctuosa",410,242.4,31
"Ducula melanochroa",665,243,31.7
"Ducula mindorensis",507.2,230,27.6
"Ducula mullerii",574.9,233,27.1
"Ducula myristicivora",535,250.8,32.5
"Ducula neglecta",667,254,32.6
"Ducula obiensis",507.2,213.4,30.3
"Ducula oceanica",371.5,214.8,27
"Ducula oenothorax",545,238.3,28.5
"Ducula pacifica",394.2,244.4,32.5
"Ducula perspicillata",667,251.8,33
"Ducula pickeringii",377,232,31.5
"Ducula pinon",756,259.4,30
"Ducula pistrinaria",515,239.8,29.3
"Ducula poliocephala",555,212,29.8
"Ducula radiata",295,204.2,32.6
"Ducula rosacea",385.6,229,32.6
"Ducula rubricera",652,238.8,33
"Ducula rufigaster",436,196.6,27.6
"Ducula salvadorii",756,248.9,31.2
"Ducula spilorrhoa",464,241.2,33
"Ducula subflavescens",440,235,38.9
"Ducula whartoni",571.2,251,28.8
"Ducula zoeae",568,219.8,26
"Gallicolumba crinigera",192.2,150.2,28.6
"Gallicolumba keayi",190.5,139.2,32.8
"Gallicolumba luzonica",196,142.7,27.4
"Gallicolumba menagei",196,158.5,30.2
"Gallicolumba platenae",196,153.1,27.6
"Gallicolumba rufigula",130,129.8,28.4
"Gallicolumba tristigmata",275,159.3,25.8
"Geopelia cuneata",31.6,89.2,35.6
"Geopelia humeralis",128.4,138.2,30.2
"Geopelia maugeus",56.6,100.4,30.7
"Geopelia placida",47.8,99,33.2
"Geopelia striata",56.6,97,27.7
"Geophaps plumifera",94.3,106.7,29.2
"Geophaps scripta",221.4,140.6,27
"Geophaps smithii",194,132.8,24.3
"Geotrygon caniceps",192,148.6,29.5
"Geotrygon chrysia",169,152.8,32.3
"Geotrygon leucometopia",192,151.5,32
"Geotrygon montana",133.9,136.5,27.1
"Geotrygon mystacea",211,162,28.8
"Geotrygon purpurata",129,134.2,26.3
"Geotrygon saphirina",203,136.3,29.2
"Geotrygon versicolor",225,155.8,29.3
"Geotrygon violacea",95.2,143.4,33.3
"Goura cristata",2000,355.5,17.6
"Goura scheepmakeri",2235,354.5,17.1
"Goura sclaterii",2235,359,19.1
"Goura victoria",2384,350.5,18.9
"Gymnophaps albertisii",259,200.2,37.5
"Gymnophaps mada",334,216.5,32.8
"Gymnophaps solomonensis",335,215,34.5
"Gymnophaps stalkeri",334,202,33.3
"Hemiphaga chathamensis",789,272,30.8
"Hemiphaga novaeseelandiae",653,256.6,31.7
"Henicophaps albifrons",247,192.6,27.5
"Henicophaps foersteri",247,203,25.8
"Leptotila battyi",160.6,135,28.9
"Leptotila cassinii",159,132.3,24
"Leptotila conoveri",153.5,136,23.6
"Leptotila jamaicensis",165,147,31
"Leptotila megalura",218,150.2,26.1
"Leptotila ochraceiventris",146,132.4,25.3
"Leptotila pallida",122.8,136.2,25.1
"Leptotila plumbeiceps",170,141,26.8
"Leptotila rufaxilla",157,135.5,24.5
"Leptotila verreauxi",146.9,136.7,22.1
"Leptotila wellsi",200,138,15.7
"Leptotrygon veraguensis",155,132.2,27.1
"Leucosarcia melanoleuca",428.6,197,32.3
"Lopholaimus antarcticus",496.4,277.6,38
"Macropygia amboinensis",237,171.9,32.2
"Macropygia emiliana",161,171,32.4
"Macropygia macassariensis",237,175.8,33.1
"Macropygia mackinlayi",85.9,148.6,31.8
"Macropygia magna",237,187.2,31.8
"Macropygia nigrirostris",90.1,146.5,36.3
"Macropygia phasianella",237,175.8,33.1
"Macropygia ruficeps",81.9,141,36.6
"Macropygia rufipennis",256,191,37.7
"Macropygia tenuirostris",177,176.2,33.2
"Macropygia timorlaoensis",237,175.8,33.1
"Macropygia unchall",168,174.8,35.9
"Megaloprepia formosa",118.5,141.3,30.6
"Megaloprepia magnifica",185.4,163.5,28.7
"Metriopelia aymara",61.8,116.2,39.2
"Metriopelia ceciliae",55.1,95,25.4
"Metriopelia melanoptera",100,130.6,38.4
"Metriopelia morenoi",28.6,95.8,27.2
"Nesoenas mayeri",302.8,208.5,29.8
"Nesoenas picturatus",176.8,165.8,35.4
"Ocyphaps lophotes",204,160.6,40
"Oena capensis",40.6,102.5,39.3
"Otidiphaps aruensis",500,185.7,13.5
"Otidiphaps cervicalis",500,180.8,15.2
"Otidiphaps insularis",500,174.6,13.6
"Otidiphaps nobilis",500,182,17.3
"Paraclaravis geoffroyi",43.5,118,34.7
"Paraclaravis mondetoura",89.7,116.9,28.3
"Patagioenas albilinea",366.3,204.9,35.9
"Patagioenas albipennis",347,228.3,38.9
"Patagioenas araucana",270,210.2,37
"Patagioenas caribaea",250,209.7,35.3
"Patagioenas cayennensis",229,180.3,35.1
"Patagioenas corensis",272.3,192,34.8
"Patagioenas fasciata",366.3,206.9,36.2
"Patagioenas flavirostris",270.8,186.9,35.6
"Patagioenas goodsoni",176,148.7,34.2
"Patagioenas inornata",365,209,39
"Patagioenas leucocephala",240.1,190.8,33.9
"Patagioenas maculosa",347,211.8,38.7
"Patagioenas nigrirostris",176,162,34.4
"Patagioenas oenops",264.6,192,35.7
"Patagioenas picazuro",279,218.2,37.6
"Patagioenas plumbea",178.8,177.8,34.9
"Patagioenas speciosa",258.5,184.7,36.5
"Patagioenas squamosa",312,210.3,35.6
"Patagioenas subvinacea",162.5,156.3,34.3
"Petrophassa albipennis",124.3,132.8,24.4
"Petrophassa rufipennis",159,141.4,21.3
"Phapitreron amethystinus",145,140.3,33.5
"Phapitreron brevirostris",108,118.9,33.6
"Phapitreron brunneiceps",146,137.9,36.3
"Phapitreron cinereiceps",146,134.5,32.5
"Phapitreron frontalis",145,139,33.5
"Phapitreron leucotis",108,128.8,34.9
"Phapitreron maculipectus",145,147.3,34.3
"Phapitreron nigrorum",108,125.3,33.4
"Phaps chalcoptera",330.7,197.8,39
"Phaps elegans",211.4,162.5,30.7
"Phaps histrionica",289,196.5,43.9
"Ptilinopus alligator",243,186.7,33.5
"Ptilinopus arcanus",85.9,100,25.3
"Ptilinopus aurantiifrons",152,128,30.4
"Ptilinopus chalcurus",97.6,135,25.6
"Ptilinopus chrysogaster",97.6,136.9,28.1
"Ptilinopus cinctus",243,157.8,27.7
"Ptilinopus coralensis",83.2,126,25.7
"Ptilinopus coronulatus",76.6,117,29.1
"Ptilinopus dohertyi",243,178,30.7
"Ptilinopus dupetithouarsii",99.5,144.2,32.3
"Ptilinopus eugeniae",114,115.2,31
"Ptilinopus fasciatus",106,130.9,29.6
"Ptilinopus gestroi",163,147.2,34.4
"Ptilinopus granulifrons",136.5,121,28.1
"Ptilinopus greyi",82.7,114.8,30.2
"Ptilinopus hernsheimi",105,124,28.8
"Ptilinopus huttoni",130,161.7,25.9
"Ptilinopus hyogastrus",136.5,125.8,27.2
"Ptilinopus insolitus",136.5,128,29.8
"Ptilinopus insularis",104,143.5,25.2
"Ptilinopus iozonus",114,117.8,34.1
"Ptilinopus melanospilus",92,118.1,26.5
"Ptilinopus monacha",53.9,95.8,29.6
"Ptilinopus nainus",49,87.4,26.3
"Ptilinopus ornatus",163,150.7,31
"Ptilinopus pelewensis",93,127.8,29.4
"Ptilinopus perlatus",210,156.8,30.1
"Ptilinopus perousii",93.5,128.6,28.2
"Ptilinopus ponapensis",105,127.2,28.6
"Ptilinopus porphyraceus",105,133.2,29.8
"Ptilinopus porphyreus",168,145,31.3
"Ptilinopus pulchellus",70,105.6,28
"Ptilinopus purpuratus",97.6,145.2,30.3
"Ptilinopus rarotongensis",97.6,124.5,24
"Ptilinopus regina",101.6,126.8,29.6
"Ptilinopus richardsii",103.9,127.2,29.6
"Ptilinopus rivoli",149,126,28.5
"Ptilinopus roseicapilla",90.4,122.4,27.6
"Ptilinopus solomonensis",108.5,115.2,28
"Ptilinopus speciosus",108.5,110.1,27.3
"Ptilinopus superbus",118,129,30
"Ptilinopus tannensis",208,148.5,28.6
"Ptilinopus temminckii",118,136.1,32
"Ptilinopus viridis",121,112.3,30.1
"Ptilinopus wallacii",208,148.2,34.5
"Ramphiculus epius",142,168.4,25.2
"Ramphiculus fischeri",177,169,27.5
"Ramphiculus jambu",135,138.4,33
"Ramphiculus leclancheri",164,141.2,32.8
"Ramphiculus mangoliensis",142,158.6,25.8
"Ramphiculus marchei",326,177.4,18.8
"Ramphiculus meridionalis",177,166.2,27
"Ramphiculus merrilli",263,164.3,22.7
"Ramphiculus occipitalis",238,157.2,26.7
"Ramphiculus subgularis",142,163,28
"Reinwardtoena browni",304,228.8,36.4
"Reinwardtoena crassirostris",259,203.7,33.2
"Reinwardtoena reinwardti",275,238.2,34.5
"Spilopelia chinensis",159,138.8,30.3
"Spilopelia senegalensis",82.1,132.2,34.2
"Spilopelia suratensis",159,137,31.7
"Starnoenas cyanocephala",219,140.3,30.2
"Streptopelia bitorquata",153,160.8,31
"Streptopelia capicola",142,151.1,32.6
"Streptopelia decaocto",149,173.7,35.4
"Streptopelia decipiens",134,167.4,30.7
"Streptopelia dusumieri",153,158.7,32.2
"Streptopelia hypopyrrha",162,173,35.6
"Streptopelia lugens",155,172.7,36.6
"Streptopelia orientalis",232.9,176.5,32.8
"Streptopelia reichenowi",119,140.2,30.9
"Streptopelia roseogrisea",155,159.2,39.2
"Streptopelia semitorquata",176,173.1,36.6
"Streptopelia tranquebarica",103,134.8,39.6
"Streptopelia turtur",132,170.7,43.5
"Streptopelia vinacea",110,136.4,34.6
"Streptopelia xanthocycla",149,176.2,37.2
"Treron affinis",234,144,35.6
"Treron apicauda",217.2,163.6,35.3
"Treron aromaticus",234,156.8,35.2
"Treron australis",229,170.4,35.6
"Treron axillaris",234,154.8,36
"Treron bicinctus",174,156.2,38.1
"Treron calvus",197.5,160.6,38.1
"Treron capellei",401.3,193.8,33.5
"Treron chloropterus",234,172,36
"Treron curvirostra",134.5,135.9,34.9
"Treron delalandii",197.5,170,37.9
"Treron floris",205.7,147.8,29.9
"Treron formosae",140,190.6,35.8
"Treron fulvicollis",167,143.4,33.3
"Treron griseicauda",205.7,145.4,33.9
"Treron griveaudi",229,169,36.7
"Treron olax",77,118.8,34
"Treron oxyurus",205.7,156.8,35.6
"Treron pembaensis",205.7,169,36.2
"Treron permagnus",140,200.7,35.2
"Treron phayrei",187,155.8,38.9
"Treron phoenicopterus",235,188.2,39.5
"Treron pompadora",234,150.5,37.8
"Treron psittaceus",205.7,165.8,32.9
"Treron sanctithomae",205.7,170.5,35.4
"Treron seimundi",157.8,153.6,33.9
"Treron sieboldii",245,182.6,37.6
"Treron sphenurus",210,170.7,37.1
"Treron teysmannii",205.7,157,33.1
"Treron vernans",132,137.4,32.8
"Treron waalia",254,179.4,37
"Trugon terrestris",400,173.5,30.1
"Turacoena manadensis",208.6,198.7,29.2
"Turacoena modesta",340,196.8,32.8
"Turacoena sulaensis",208.6,181,29.2
"Turtur abyssinicus",62.7,105.4,30.9
"Turtur afer",65.6,105.2,28.2
"Turtur brehmeri",116,126.4,25.2
"Turtur chalcospilos",60.6,110.5,28.4
"Turtur tympanistria",70.6,112.9,25.2
"Uropelia campestris",35.2,65.2,19.9
"Zenaida asiatica",153,160.8,35.2
"Zenaida auriculata",110.2,136.2,32.7
"Zenaida aurita",156,149,33.6
"Zenaida galapagoensis",111,125.4,36.6
"Zenaida graysoni",192,147,26.4
"Zenaida macroura",118.9,144.4,36.6
"Zenaida meloda",209.2,158,33.3
"Zentrygon albifacies",238,141.4,25.2
"Zentrygon carrikeri",267,146.5,23.1
"Zentrygon chiriquensis",308,148.2,21.4
"Zentrygon costaricensis",285.1,139.2,19.9
"Zentrygon frenata",307,155.8,18.2
"Zentrygon goldmani",258,141.5,18.4
"Zentrygon lawrencii",220,137.5,24.3
"Zentrygon linearis",261,150.5,20
"Actenoides bougainvillei",188,129,18.9
"Actenoides capucinus",150,147.7,19.2
"Actenoides concretus",73.5,110.8,21.5
"Actenoides excelsus",188,126.5,18.1
"Actenoides hombroni",117,120.4,22.5
"Actenoides lindsayi",92.8,106,20.1
"Actenoides monachus",150,140.4,19.1
"Actenoides princeps",105,113.1,23
"Actenoides regalis",105,115,23
"Alcedo atthis",31.1,73.3,26.9
"Alcedo coerulescens",34.9,59.3,24.2
"Alcedo euryzona",43.1,85.6,21.4
"Alcedo hercules",62.5,96,26
"Alcedo meninting",20.4,65,25.2
"Alcedo peninsulae",43.1,80.7,21.4
"Alcedo quadribrachys",34.9,77.1,25.8
"Alcedo semitorquata",47.3,80.6,24.7
"Caridonax fulgidus",171.8,132.5,22.6
"Ceryle rudis",84.4,136.2,34.5
"Ceyx argentatus",17.8,59.2,21.5
"Ceyx azureus",34.9,74,24.9
"Ceyx cajeli",21.3,62.4,21.7
"Ceyx collectoris",21.3,61.8,19.2
"Ceyx cyanopectus",21.5,58.3,24.7
"Ceyx dispar",21.3,62.7,18.8
"Ceyx erithaca",17.8,58.2,13.7
"Ceyx fallax",18,58,22.4
"Ceyx flumenicola",17.8,57.6,24.5
"Ceyx gentianus",21.3,61.9,20
"Ceyx lepidus",21.3,59.6,21.5
"Ceyx margarethae",21.3,62.9,26.1
"Ceyx meeki",21.3,56.9,20.2
"Ceyx melanurus",22.8,57.4,21.5
"Ceyx mindanensis",22.8,57.2,16.5
"Ceyx mulcatus",21.3,63.6,18.8
"Ceyx nigrirostris",21.5,56,20.7
"Ceyx nigromaxilla",21.3,57.3,17.1
"Ceyx pusillus",13.3,50.8,23.6
"Ceyx sacerdotis",21.3,58.7,19.8
"Ceyx sangirensis",18,60,22.4
"Ceyx solitarius",21.3,52.1,21.5
"Ceyx wallacii",21.3,64,23.9
"Ceyx websteri",61,89,23.6
"Chloroceryle aenea",13.8,55.9,24.2
"Chloroceryle amazona",126.4,130.5,29.9
"Chloroceryle americana",33.7,76.8,25.6
"Chloroceryle inda",52.1,97,27
"Cittura cyanotis",147,98.2,24.1
"Cittura sanghirensis",147,110.7,20.5
"Clytoceyx rex",242,165.5,19.8
"Corythornis cristatus",15.7,54.2,22.4
"Corythornis leucogaster",14.5,55.2,20.1
"Corythornis madagascariensis",17.7,57,20.6
"Corythornis nais",15.7,55.4,20
"Corythornis thomensis",15.7,57.8,20.7
"Corythornis vintsioides",17.9,59.1,21.2
"Dacelo gaudichaud",143,130.2,25.5
