"Species1","Mass","Wing.Length","Hand-Wing.Index"
"Gampsonyx swainsonii",92.9,147.7,36.5
"Geranoaetus albicaudatus",885,427,34.8
"Geranoaetus melanoleucus",2378.6,496.2,36.6
"Geranoaetus polyosoma",782.6,402,38.1
"Geranospiza caerulescens",302.5,269.1,24.4
"Gypaetus barbatus",5695,760.6,49.5
"Gypohierax angolensis",1600,419,30
"Gyps africanus",5433,578.4,39.2
"Gyps bengalensis",4385,551.6,38.8
"Gyps coprotheres",8177,687.2,37.5
"Gyps fulvus",7436,687.2,39.2
"Gyps himalayensis",9798,759.8,35.5
"Gyps indicus",5515,585.6,38.3
"Gyps rueppelli",7400,627.8,37.6
"Gyps tenuirostris",5515,592.2,37.2
"Haliaeetus albicilla",4729.3,599.5,38
"Haliaeetus leucocephalus",4700.6,601.8,41.4
"Haliaeetus leucogaster",2827,556.7,41.3
"Haliaeetus leucoryphus",2885.9,566.6,42.8
"Haliaeetus pelagicus",7757,598.5,31.1
"Haliaeetus sanfordi",1980,523.2,35.7
"Haliaeetus vocifer",3400,548.2,33.5
"Haliaeetus vociferoides",3000,487.2,31.9
"Haliastur indus",529,399.8,36.4
"Haliastur sphenurus",753,407.4,45.6
"Hamirostra melanosternon",1196,472.6,52
"Harpagus bidentatus",215.3,210.3,29.6
"Harpagus diodon",200,201.4,30.8
"Harpia harpyja",4800,569.5,47.9
"Harpyopsis novaeguineae",1959.6,426.2,16.9
"Helicolestes hamatus",425.5,290.3,22.3
"Henicopernis infuscatus",571.2,337,37.7
"Henicopernis longicauda",571.2,394.6,39.4
"Hieraaetus ayresii",806.1,383.5,34.2
"Hieraaetus morphnoides",775.1,364.8,44.9
"Hieraaetus pennatus",823.8,361.8,42
"Hieraaetus wahlbergi",640,413.8,42.6
"Hieraaetus weiskei",775.1,337,33.5
"Icthyophaga humilis",782,353.2,33.1
"Icthyophaga ichthyaetus",1590,471.2,29
"Ictinaetus malaiensis",1028,552.8,43.2
"Ictinia mississippiensis",276,291.8,53.6
"Ictinia plumbea",249.9,285.6,41.8
"Kaupifalco monogrammicus",278.9,217.4,32.4
"Leptodon cayanensis",474,302.8,18.8
"Leptodon forbesi",577,316.2,28.5
"Leucopternis kuhli",352.1,207.6,25.8
"Leucopternis melanops",312,210.8,28.9
"Leucopternis semiplumbeus",285,191,24.6
"Lophaetus occipitalis",1067,373.6,31.3
"Lophoictinia isura",579.4,471.2,48.1
"Lophotriorchis kienerii",799,366.2,35.9
"Macheiramphus alcinus",650,360.2,49
"Megatriorchis doriae",1000,290.5,26
"Melierax canorus",663.3,353,39.7
"Melierax metabates",674.5,317.6,34.9
"Melierax poliopterus",629.9,305.8,37.1
"Micronisus gabar",169.6,187,34.3
"Milvus aegyptius",734.1,457.4,48.1
"Milvus migrans",734.1,457.4,48.1
"Milvus milvus",1071.8,481.5,49.9
"Morphnarchus princeps",1000,364.7,29.5
"Morphnus guianensis",1750,464.8,23
"Necrosyrtes monachus",2043,471.4,38.7
"Neophron percnopterus",2082,490.8,48
"Nisaetus alboniger",830,325.2,25.1
"Nisaetus bartelsi",830,378,22.1
"Nisaetus cirrhatus",1475.1,414.6,27.9
"Nisaetus floris",1475.1,436.7,26.5
"Nisaetus lanceolatus",1168,373,24
"Nisaetus nanus",557.8,312.7,25.4
"Nisaetus nipalensis",3005,423.7,25.1
"Nisaetus philippensis",1168,355.2,26.4
"Nisaetus pinskeri",1168,349,20.9
"Parabuteo leucorrhous",290,241,27.3
"Parabuteo unicinctus",850.3,320.8,30.8
"Pernis apivorus",754.4,407.4,37.9
"Pernis celebensis",722,350.2,27.6
"Pernis ptilorhynchus",1141.1,413.6,32
"Pernis steerei",722,378.5,29.9
"Pithecophaga jefferyi",5175.3,585.8,30.3
"Polemaetus bellicosus",3964.5,571.6,35.5
"Polyboroides radiatus",633.2,397.4,28.1
"Polyboroides typus",633.2,443.1,35.4
"Pseudastur albicollis",703.7,358.3,25.4
"Pseudastur occidentalis",660,346.2,28.2
"Pseudastur polionotus",703.7,365.8,31.3
"Rostrhamus sociabilis",366.9,344.8,39.1
"Rupornis magnirostris",269,220.9,28
"Sarcogyps calvus",4469.9,570,44
"Spilornis cheela",597.7,373.7,30.1
"Spilornis elgini",895,365.4,29.4
"Spilornis holospilus",705,340.1,30.7
"Spilornis kinabaluensis",597.7,368.5,29
"Spilornis klossi",450,297.2,29.5
"Spilornis rufipectus",705,328.6,32.4
"Spizaetus isidori",1197.4,484.4,24.2
"Spizaetus melanoleucus",850,400.6,31.1
"Spizaetus ornatus",1197.4,353,17.2
"Spizaetus tyrannus",1007.1,384.4,17.9
"Stephanoaetus coronatus",3640,496.4,22.1
"Terathopius ecaudatus",2200,500.4,46.8
"Torgos tracheliotos",6969,711.4,39.1
"Trigonoceps occipitalis",3016,618,43.1
"Urotriorchis macrourus",492,286.5,23.8
"Pandion haliaetus",1483.2,468.4,44.9
"Sagittarius serpentarius",4017,615.5,40.6
"Aix galericulata",567,222.2,50.1
"Aix sponsa",657.6,220.5,49.4
"Alopochen aegyptiaca",1873,356,38
"Amazonetta brasiliensis",500,180.6,32.9
"Anas acuta",944.6,256.7,57.8
"Anas albogularis",488.1,186.8,44.5
"Anas andium",434,224.2,44.9
"Anas aucklandica",499.1,134.8,36.7
"Anas bahamensis",490,205.5,44.9
"Anas bernieri",378.5,194.7,37.5
"Anas capensis",402,193.2,48.5
"Anas carolinensis",341.9,175.2,52.8
"Anas castanea",624,202,45.5
"Anas chlorotis",499.1,196.6,48.5
"Anas crecca",341.9,180.4,53.5
"Anas eatoni",944.6,203.2,55.1
"Anas erythrorhyncha",558.8,215,45.9
"Anas flavirostris",434,191,49.3
"Anas fulvigula",843.4,244.5,48.8
"Anas georgica",623.8,205.6,47
"Anas gibberifrons",488.1,193.4,44.3
"Anas gracilis",488.1,192.2,47.3
"Anas laysanensis",843.4,198.5,42
"Anas luzonica",832,237,44.3
"Anas melleri",959.2,245.6,47.2
"Anas nesiotis",499.1,122,34.9
"Anas platyrhynchos",843.4,263.4,50.7
"Anas poecilorhyncha",1000,272,46.6
"Anas rubripes",1241,267.2,51.4
"Anas sparsa",981.5,247.4,44
"Anas superciliosa",882.8,251.2,47.1
"Anas undulata",1008,240.6,44.5
"Anas wyvilliana",843.4,220,46.1
"Anas zonorhyncha",1156,268.2,49.3
"Anser albifrons",2506.4,408.2,52.6
"Anser anser",3302.4,435.7,47.2
"Anser brachyrhynchus",2642,432.2,49.3
"Anser caerulescens",2636.2,411.8,52.5
"Anser canagicus",2136.5,374,49.4
"Anser cygnoid",3511.9,422.2,46.1
"Anser erythropus",1755.5,369,53.1
"Anser fabalis",2754.7,448.6,50.2
"Anser indicus",2212.6,437.8,50.3
"Anser rossii",1636,346,54.4
"Asarcornis scutulata",2937.4,341.6,36.6
"Aythya affinis",819.5,198.2,51
"Aythya americana",1075.7,218.6,46
"Aythya australis",869.4,213.6,47
"Aythya baeri",681.2,201.8,48.8
"Aythya collaris",704.6,194.8,48.2
"Aythya ferina",823,208.6,50.1
"Aythya fuligula",701.2,196.9,50.1
"Aythya innotata",685,187.2,46.9
"Aythya marila",1005.4,213.5,48.9
"Aythya novaeseelandiae",682,177,48.2
"Aythya nyroca",574,182.5,48.9
"Aythya valisineria",1202,223.5,42
"Biziura lobata",1928.5,211.5,40
"Branta bernicla",1277.9,319.6,52.3
"Branta canadensis",2811.7,422.9,49.4
"Branta hutchinsii",2811.7,396.3,44.6
"Branta leucopsis",1684,381.8,50.6
"Branta ruficollis",1226.5,345.6,53.2
"Branta sandvicensis",2044.1,364,40.4
"Bucephala albeola",397.5,160.8,47.4
"Bucephala clangula",918.6,208.7,51.4
"Bucephala islandica",921.2,221.7,47.2
"Cairina moschata",2415.8,345,35.2
"Callonetta leucophrys",362.8,169,42.8
"Cereopsis novaehollandiae",3560,470.8,33.4
"Chenonetta jubata",807.5,258.8,47
"Chloephaga hybrida",2281.8,358,37.2
"Chloephaga melanoptera",2037,431.7,35.5
"Chloephaga picta",2880.4,412.2,44.1
"Chloephaga poliocephala",2007.1,345.4,43.5
"Chloephaga rubidiceps",2086,325.6,44.4
"Clangula hyemalis",871,215.6,50.9
"Coscoroba coscoroba",4294.8,421.2,42.9
"Cyanochen cyanoptera",1520,326.2,36.2
"Cygnus atratus",5623.2,459.2,44.9
"Cygnus buccinator",11071.1,625.5,42.7
"Cygnus columbianus",6378,538.2,45.3
"Cygnus cygnus",9350,582,44.8
"Cygnus melancoryphus",4711.7,411.8,41.7
"Cygnus olor",10682,581.5,42.1
"Dendrocygna arborea",1150,256.5,30.1
"Dendrocygna arcuata",796.2,186,30.9
"Dendrocygna autumnalis",755.3,240.8,32.7
"Dendrocygna bicolor",756.4,223,29.7
"Dendrocygna eytoni",790,232,37.5
"Dendrocygna guttata",800,206.6,26.9
"Dendrocygna javanica",519.6,193.8,32.9
"Dendrocygna viduata",690,214.3,28
"Heteronetta atricapilla",538.4,173.6,42.9
"Histrionicus histrionicus",561.6,194,50
"Hymenolaimus malacorhynchos",830,228.2,43.8
"Lophodytes cucullatus",613.8,186.6,50.9
"Lophonetta specularioides",1019.9,269.2,43.5
"Malacorhynchus membranaceus",372.8,183.7,45.1
"Mareca americana",754.6,253.2,53.7
"Mareca falcata",645.8,238.3,54.5
"Mareca penelope",770,250.6,57.2
"Mareca sibilatrix",923.2,245,49.5
"Mareca strepera",915.6,251.3,54.8
"Marmaronetta angustirostris",477,200.7,47.7
"Melanitta americana",1117,220,47.9
"Melanitta deglandi",1800.2,270,49.8
"Melanitta fusca",1800.2,259.2,49.9
"Melanitta nigra",1050,221.1,45.7
"Melanitta perspicillata",1096.3,226.3,51.2
"Melanitta stejnegeri",1800.2,267.2,48.1
"Merganetta armata",398.8,163.4,37.4
"Mergellus albellus",608.6,187.3,53.8
"Mergus merganser",1451,270.8,46
"Mergus octosetaceus",983,196.2,40.4
"Mergus serrator",1015.2,233.6,49.3
"Mergus squamatus",1234,256.2,48.6
"Neochen jubata",1250,298,43.1
"Netta erythrophthalma",780.4,208,44.8
"Netta peposaca",1000,230.7,44.5
"Netta rufina",1118,258.3,47.5
"Nettapus auritus",266,149.6,43.8
